dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
868,Sgurr nan Conbhairean - Drochaid an Tuill Easaich,998.5,3276.0,212072.0,813441.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.173189568849835,-5.110199223018095,Invergarry,21.722145850560317,57.0697214,-4.8049621
870,Sgurr nan Conbhairean - Creag a' Chaorainn,998.0,3274.0,213705.0,813167.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.17139776793235,-5.083027255752335,Invergarry,20.237826196147626,57.0697214,-4.8049621
871,Carn Ghluasaid,957.0,3140.0,214576.0,812523.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.16597384048743,-5.068165125236151,Invergarry,19.157767420524014,57.0697214,-4.8049621
894,Sgurr na Ruaidhe,993.0,3258.0,228900.0,842615.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.44151553605074,-4.852461793691468,Struy,11.360788757901766,57.4215858,-4.6663088
895,Carn nan Gobhar,992.0,3255.0,227303.0,843890.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.4523493112905,-4.87993190183498,Struy,13.234654603227192,57.4215858,-4.6663088
884,Sgurr a' Choire Ghlais,1083.0,3553.0,225835.0,843056.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.444306581144275,-4.9037693629769565,Cannich,13.612020710559133,57.3468892,-4.7661918
886,Sgurr Fhuar-thuill,1049.0,3442.0,223580.0,843754.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.44969760506572,-4.941791476238102,Cannich,15.535903478055008,57.3468892,-4.7661918
888,Sgurr Fhuar-thuill - Creag Ghorm a' Bhealaich,1030.0,3379.0,224477.0,843505.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.447811572367044,-4.926686185270507,Cannich,14.778217226442665,57.3468892,-4.7661918
889,Sgurr Fhuar-thuill - Sgurr na Fearstaig,1015.0,3330.0,222820.0,843732.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.44920426676368,-4.954422217147608,Cannich,16.019035620837634,57.3468892,-4.7661918
899,Moruisg,928.0,3045.0,210114.0,849939.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.499737580891534,-5.1706387460035295,Achnasheen,10.686248746729571,57.5801702,-5.0726386
900,Sgurr nan Ceannaichean,913.43,2997.0,208724.0,848063.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro,Munro,Munro,Munro,Munro,57.48232796311754,-5.192325236271312,Achnasheen,13.015735476959806,57.5801702,-5.0726386
890,Maoile Lunndaidh,1004.9,3297.0,213506.0,845853.0,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro,Munro,57.464497932557954,-5.1110060425613835,Achnasheen,13.064586569224659,57.5801702,-5.0726386
891,Maoile Lunndaidh - Creag Toll a' Choin,1005.3,3298.0,213082.0,845325.0,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.459587700188514,-5.117659756256992,Achnasheen,13.675009132918394,57.5801702,-5.0726386
893,Maoile Lunndaidh - Carn nam Fiaclan,993.0,3258.0,212370.0,845504.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.4608993690018,-5.129646281469369,Achnasheen,13.692192282720242,57.5801702,-5.0726386
885,Sgurr a' Chaorachain,1053.0,3455.0,208749.0,844738.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.4525178658413,-5.18930773491709,Strathcarron,14.748117822821609,57.4231372,-5.4296171
887,Sgurr a' Chaorachain - Bidean an Eoin Deirg,1046.6,3434.0,210361.0,844324.0,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.449481025561646,-5.162165959461758,Achnasheen,15.484336593703569,57.5801702,-5.0726386
892,Sgurr Choinnich,999.3,3279.0,207625.0,844627.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.45104744309906,-5.207921235174507,Strathcarron,13.62615798311745,57.4231372,-5.4296171
898,Bidein a' Choire Sheasgaich,945.0,3100.0,204906.0,841265.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.41973635254907,-5.250478242181762,Strathcarron,10.732336144384192,57.4231372,-5.4296171
896,Lurg Mhor,987.0,3238.0,206480.0,840451.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.41310894539622,-5.223672306094733,Strathcarron,12.382065085544793,57.4231372,-5.4296171
897,Lurg Mhor - Meall Mor,974.0,3196.0,207210.0,840578.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.41455808293504,-5.211639741009734,Strathcarron,13.086805439880187,57.4231372,-5.4296171
936,Carn nan Gobhar,993.0,3258.0,218188.0,834362.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.363323219508544,-5.024553927409895,Tomich,14.290446543122838,57.3052421,-4.8121467
939,Carn nan Gobhar - Creag Dubh,947.0,3107.0,219970.0,835076.0,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.37043592812752,-4.995494163831628,Tomich,13.176143117578933,57.3052421,-4.8121467
926,Sgurr na Lapaich,1151.0,3776.0,216103.0,835125.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.36933023270198,-5.059734464842661,Tomich,16.478585386774625,57.3052421,-4.8121467
933,Sgurr na Lapaich - Rubha na Spreidhe,1057.0,3468.0,216320.0,835610.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.37376821291793,-5.056493886892376,Tomich,16.524333586974794,57.3052421,-4.8121467
937,Sgurr na Lapaich - Creag a' Chaorainn,969.0,3179.0,216800.0,833800.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.357725941389674,-5.0471762939584,Tomich,15.266112970802753,57.3052421,-4.8121467
935,Sgurr na Lapaich - Braigh a' Choire Bhig,1008.0,3307.0,215689.0,833437.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.35402178302908,-5.065343909439125,Tomich,16.13670352244546,57.3052421,-4.8121467
929,Sgurr na Lapaich - Sgurr nan Clachan Geala,1093.0,3586.0,216171.0,834240.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.361419333519635,-5.057944434410954,Tomich,16.02019330065607,57.3052421,-4.8121467
927,An Riabhachan,1129.0,3704.0,213363.0,834483.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.36245711914272,-5.104736295290662,Tomich,18.677187167449425,57.3052421,-4.8121467
928,An Riabhachan NE Top,1125.0,3691.0,213824.0,834761.0,Unclassified,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.36513931139243,-5.097294618463953,Tomich,18.36337658757561,57.3052421,-4.8121467
930,An Riabhachan SW Top,1086.0,3563.0,212286.0,833617.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.354247106259784,-5.1219524177067015,Tomich,19.37751383053699,57.3052421,-4.8121467
934,An Riabhachan West Top,1038.0,3406.0,211733.0,833774.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.3554271358825,-5.131249147646958,Strathcarron,19.400532136217837,57.4231372,-5.4296171
931,An Socach,1069.0,3507.0,210061.0,833274.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.35024869592241,-5.158609670606837,Strathcarron,18.151476589193326,57.4231372,-5.4296171
957,Sgurr Mhor (Beinn Alligin),986.0,3235.0,186565.0,861270.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.5908430486145,-5.572764698854536,Inveralligin,4.631933768167538,57.5558929,-5.6150331
968,Tom na Gruagaich (Beinn Alligin),922.0,3025.0,185958.0,860153.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,57.580542078321436,-5.5819126398802315,Inveralligin,3.3783548642048222,57.5558929,-5.6150331
953,Spidean a' Choire Leith (Liathach),1054.8,3461.0,192934.0,857969.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.564211715361594,-5.463611043100444,Torridon,3.4344819304656427,57.5465346,-5.5108229
954,Mullach an Rathain (Liathach),1023.8,3359.0,191188.0,857689.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro,Munro,57.56089821433148,-5.492500260297379,Fasag,1.8284826212115226,57.5493823,-5.5143801
958,Spidean a' Choire Leith (Liathach) - Stob a' Choire Liath Mhor,983.5,3227.0,193288.0,858110.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.56563793733972,-5.457824784771269,Torridon,3.808846822205847,57.5465346,-5.5108229
963,Mullach an Rathain (Liathach) - Meall Dearg [Northern Pinnacles],955.0,3133.0,191383.0,857944.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.563274497680275,-5.489466169542906,Fasag,2.143588753770233,57.5493823,-5.5143801
967,Mullach an Rathain (Liathach) - Am Fasarinen,928.6,3047.0,192340.0,857470.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.55946526377853,-5.473094904080632,Torridon,2.6708371096340326,57.5465346,-5.5108229
969,Spidean a' Choire Leith (Liathach) - Stuc a' Choire Dhuibh Bhig,915.4,3003.0,194217.0,858225.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.56709291861541,-5.442421669799456,Torridon,4.676996110755061,57.5465346,-5.5108229
955,Ruadh-stac Mor (Beinn Eighe),1010.0,3314.0,195142.0,861152.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.593757453815904,-5.429457916971007,Fasag,7.070255493795339,57.5493823,-5.5143801
956,Spidean Coire nan Clach (Beinn Eighe),993.0,3258.0,196615.0,859780.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,57.58212127664041,-5.403710261093508,Kinlochewe,6.47778913431855,57.6040207,-5.3029818
959,Spidean Coire nan Clach (Beinn Eighe) - Sail Mhor,980.0,3215.0,193815.0,860587.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.588087651694345,-5.4511357958479225,Fasag,5.722462201225348,57.5493823,-5.5143801
964,Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor (1974 position),954.0,3130.0,195020.0,860100.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.58426958077027,-5.430606014970941,Fasag,6.325190953069895,57.5493823,-5.5143801
960,Spidean Coire nan Clach (Beinn Eighe) - Coinneach Mhor,976.0,3202.0,194447.0,860017.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.58326500732458,-5.440101255441035,Fasag,5.815249896686901,57.5493823,-5.5143801
961,Spidean Coire nan Clach (Beinn Eighe) - Sgurr Ban,970.0,3182.0,197455.0,860020.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.58465068190424,-5.389887947801266,Kinlochewe,5.608816900886416,57.6040207,-5.3029818
962,Spidean Coire nan Clach (Beinn Eighe) - Sgurr nan Fhir Duibhe,963.0,3159.0,198164.0,860021.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.58497701542296,-5.378052010763381,Kinlochewe,4.949326200023485,57.6040207,-5.3029818
966,Spidean Coire nan Clach (Beinn Eighe) - Creag Dhubh,910.0,2986.0,198563.0,860786.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.592014744602075,-5.37202594650487,Kinlochewe,4.325145523388915,57.6040207,-5.3029818
981,Sgorr Ruadh,960.7,3152.0,195907.0,850506.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.49864652223256,-5.407750109684198,Torridon,8.138163702454152,57.5465346,-5.5108229
982,Maol Chean-dearg,933.0,3061.0,192406.0,849911.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.49172160330552,-5.465551027671089,Torridon,6.667550778231363,57.5465346,-5.5108229
983,Beinn Liath Mhor,926.0,3038.0,196409.0,851982.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.51210712476851,-5.400621304313769,Torridon,7.611447602508008,57.5465346,-5.5108229
1010,Slioch,981.0,3219.0,200468.0,869076.0,Unclassified,Unclassified,Unclassified,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro,Munro,57.667197077714626,-5.347053152195923,Kinlochewe,7.498704369064278,57.6040207,-5.3029818
1012,Slioch - Trig Point,980.0,3215.0,200499.0,868874.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.66539949307319,-5.34636740140958,Kinlochewe,7.2972640434073845,57.6040207,-5.3029818
1020,Slioch - Sgurr an Tuill Bhain,934.0,3064.0,201856.0,868875.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.66600764002231,-5.323661533661154,Kinlochewe,7.001685361931562,57.6040207,-5.3029818
1023,Ruadh Stac Mor,918.7,3014.0,201853.0,875655.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro,Munro,Munro,Munro,Munro,Munro,57.72680309183591,-5.329290492734891,Kinlochewe,13.742146893761271,57.6040207,-5.3029818
1014,A' Mhaighdean,967.0,3173.0,200776.0,874913.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.719673356963845,-5.346727193815694,Kinlochewe,13.120576720805422,57.6040207,-5.3029818
1019,Beinn Tarsuinn,933.8,3064.0,203960.0,872794.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro,Munro,Munro,Munro,Munro,Munro,57.70207193548742,-5.291641404906895,Kinlochewe,10.923655532857012,57.6040207,-5.3029818
1007,Mullach Coire Mhic Fhearchair,1015.2,3331.0,205206.0,873511.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.7090431955867,-5.2713502520513815,Kinlochewe,11.828600779994405,57.6040207,-5.3029818
1011,Mullach Coire Mhic Fhearchair East Top,977.8,3208.0,205626.0,873390.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.708139918043884,-5.264215753313428,Kinlochewe,11.804980205429983,57.6040207,-5.3029818
1022,Mullach Coire Mhic Fhearchair - Sgurr Dubh,915.4,3003.0,206051.0,872924.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.70414453865576,-5.256719790897191,Kinlochewe,11.468408096819887,57.6040207,-5.3029818
1009,Sgurr Ban,989.0,3245.0,205581.0,874554.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.7185587473238,-5.26591049616159,Kinlochewe,12.925521414326523,57.6040207,-5.3029818
1024,Beinn a' Chlaidheimh,913.96,2999.0,206135.0,877581.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro,Munro,Munro,Munro,Munro,Munro,57.745943154254874,-5.259068921346299,Dundonnell,10.764408768775223,57.8394489,-5.2120431
1003,Bidein a' Ghlas Thuill (An Teallach),1062.5,3486.0,206896.0,884366.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.80711673317762,-5.251775750076639,Dundonnell,4.296599724720183,57.8394489,-5.2120431
1013,Bidein a' Ghlas Thuill (An Teallach) - Glas Mheall Mor,979.5,3214.0,207619.0,885377.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.81649424307552,-5.240443246473634,Dundonnell,3.0565299805382677,57.8394489,-5.2120431
1016,Bidein a' Ghlas Thuill (An Teallach) - Glas Mheall Liath,960.5,3151.0,207771.0,884101.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.80511673672308,-5.236862619915706,Dundonnell,4.090706144479029,57.8394489,-5.2120431
1004,Sgurr Fiona (An Teallach),1058.7,3473.0,206406.0,883679.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro,Munro,57.8007444884598,-5.259451361474931,Dundonnell,5.138512750416641,57.8394489,-5.2120431
1008,Sgurr Fiona (An Teallach) - Sgurr Creag an Eich,1016.4,3335.0,205555.0,883829.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.80172100186994,-5.273867181519503,Dundonnell,5.5680813123330415,57.8394489,-5.2120431
1006,Sgurr Fiona (An Teallach) - Lord Berkeley's Seat,1031.5,3384.0,206446.0,883508.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.79922832507956,-5.258641099494615,Dundonnell,5.255193361356695,57.8394489,-5.2120431
1005,Sgurr Fiona (An Teallach) - Corrag Bhuidhe,1047.2,3436.0,206481.0,883425.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.798499139939096,-5.25798608178706,Dundonnell,5.304379108022852,57.8394489,-5.2120431
1018,Sgurr Fiona (An Teallach) - Corrag Bhuidhe Buttress,946.0,3104.0,206669.0,883084.0,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.79552236922246,-5.254552873637528,Dundonnell,5.495072913988732,57.8394489,-5.2120431
1015,Sgurr Fiona (An Teallach) - Stob Cadha Gobhlach,958.5,3145.0,206874.0,882590.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.79118077999923,-5.250711270229047,Dundonnell,5.835383539845082,57.8394489,-5.2120431
1017,Sgurr Fiona (An Teallach) - Sail Liath,952.4,3125.0,207165.0,882494.0,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.790445206837624,-5.245747288325508,Dundonnell,5.8031203415853785,57.8394489,-5.2120431
1043,A' Chailleach,998.6,3276.0,213621.0,871413.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.693794709867724,-5.128723389502609,Achnasheen,13.068028206025247,57.5801702,-5.0726386
1048,A' Chailleach - Toman Coinnich [Toman Coinich],936.6,3073.0,214874.0,871381.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.694025196528635,-5.107711480537747,Achnasheen,12.831053916993353,57.5801702,-5.0726386
1042,Sgurr Breac,999.6,3280.0,215840.0,871107.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.69196423584369,-5.091321444696072,Achnasheen,12.480570736203513,57.5801702,-5.0726386
1049,Meall a' Chrasgaidh,934.0,3064.0,218482.0,873320.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.71288773005247,-5.048737709551569,Achnasheen,14.825889024639412,57.5801702,-5.0726386
1041,Sgurr nan Clach Geala,1093.0,3586.0,218428.0,871473.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.69629927776277,-5.048249190029377,Achnasheen,12.99430060627691,57.5801702,-5.0726386
1051,Sgurr nan Each,923.0,3028.0,218464.0,869769.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.6810297427758,-5.046362094185203,Achnasheen,11.323635180670067,57.5801702,-5.0726386
1040,Sgurr Mor,1108.9,3638.0,220323.0,871818.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.70015498498164,-5.016761231762592,Achnasheen,13.74991930830115,57.5801702,-5.0726386
1044,Sgurr Mor - Meall nam Peithirean,974.3,3197.0,220734.0,870893.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.69202194875986,-5.009186617691919,Achnasheen,12.998143140790365,57.5801702,-5.0726386
1045,Sgurr Mor - Carn na Criche,961.7,3155.0,219619.0,872534.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.70629538635002,-5.029092594209329,Achnasheen,14.261893064661109,57.5801702,-5.0726386
1046,Beinn Liath Mhor Fannaich,954.0,3130.0,221960.0,872410.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.70611639751231,-4.98977219265644,Achnasheen,14.847459330827164,57.5801702,-5.0726386
1047,Meall Gorm,949.7,3116.0,222192.0,869584.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.68085891882001,-4.983798012508749,Achnasheen,12.382378618067738,57.5801702,-5.0726386
1053,Meall Gorm SE Top,922.4,3026.0,223206.0,869193.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.67775112604581,-4.966530917424445,Achnasheen,12.555385194034072,57.5801702,-5.0726386
1052,An Coileachan,924.0,3031.0,224172.0,868024.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.66764326759748,-4.94950320740154,Achnasheen,12.180320093064243,57.5801702,-5.0726386
1050,Fionn Bheinn,933.0,3061.0,214749.0,862149.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.61117121362606,-5.102723237589401,Achnasheen,3.8854378876069258,57.5801702,-5.0726386
1066,Am Faochagach,953.0,3127.0,230361.0,879372.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.771821786001695,-4.853899102424444,Garve,19.87304873929964,57.6161825,-4.6895152
1063,Cona' Mheall,978.0,3209.0,227509.0,881642.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.79109689244763,-4.903416879816391,Dundonnell,19.0536062705963,57.8394489,-5.2120431
1062,Beinn Dearg,1084.0,3556.0,225933.0,881183.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.78637000656538,-4.929555958394316,Dundonnell,17.74268275219015,57.8394489,-5.2120431
1064,Meall nan Ceapraichean,977.0,3205.0,225727.0,882548.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.79853440919294,-4.9340100637606055,Dundonnell,17.082599467542043,57.8394489,-5.2120431
1067,Meall nan Ceapraichean - Ceann Garbh (old GR),942.0,3091.0,226662.0,883086.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.80372329937501,-4.918691062219425,Ullapool,17.63804323648224,57.8978237,-5.1586647
1065,Meall nan Ceapraichean - Ceann Garbh,968.0,3176.0,225949.0,883067.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.80327632252633,-4.930658035074844,Ullapool,17.103756231078517,57.8978237,-5.1586647
1068,Eididh nan Clach Geala,927.0,3041.0,225788.0,884216.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.81352057339783,-4.934200873518855,Ullapool,16.25491491307319,57.8978237,-5.1586647
1069,Seana Bhraigh,926.0,3038.0,228181.0,887884.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.84734945282772,-4.896619419963144,Ullapool,16.480836108455094,57.8978237,-5.1586647
1088,Glas Leathad Mor (Ben Wyvis),1046.0,3432.0,246297.0,868379.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.67892819995156,-4.5792537727336535,Garve,9.577272734613528,57.6161825,-4.6895152
1089,Glas Leathad Mor (Ben Wyvis) - An t-Socach,1006.0,3301.0,247065.0,868177.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.677377318786704,-4.5662610932736625,Garve,10.004603089026592,57.6161825,-4.6895152
1090,Glas Leathad Mor (Ben Wyvis) - Tom a' Choinnich,954.0,3130.0,246358.0,870032.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.69378162186008,-4.579286238041721,Garve,10.837704490927559,57.6161825,-4.6895152
1091,Glas Leathad Mor (Ben Wyvis) - An Cabar,946.0,3104.0,245044.0,866580.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.662355970803596,-4.599085927387849,Garve,7.43822578320697,57.6161825,-4.6895152
