dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
733,Sgurr Mor,1003.0,3291.0,196535.0,798041.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.02846246034646,-5.354205239350323,Glenfinnan,18.373125256766667,56.8710714,-5.446437
741,Gairich,919.0,3015.0,202589.0,799580.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.04489536021562,-5.255844979192363,Glenfinnan,22.519176835487357,56.8710714,-5.446437
737,Meall Buidhe,946.0,3104.0,184898.0,798977.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.03157693856651,-5.546347080491787,Inverie,8.436269552626738,57.0385872,-5.6851839
738,Meall Buidhe SE Top,942.0,3091.0,185261.0,798752.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.029728679591344,-5.540186053799127,Inverie,8.828288486263737,57.0385872,-5.6851839
731,Ladhar Bheinn,1020.0,3346.0,182400.0,803983.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.075286926346436,-5.59175702505888,Inverie,6.969112103915435,57.0385872,-5.6851839
735,Ladhar Bheinn - Stob a' Choire Odhair,960.0,3150.0,183015.0,804311.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.0785177512781,-5.581916609041165,Inverie,7.6618192322961685,57.0385872,-5.6851839
739,Luinne Bheinn,939.0,3081.0,186979.0,800740.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.04835000846136,-5.513621066066285,Inverie,10.4345131182876,57.0385872,-5.6851839
740,Luinne Bheinn East Top,936.0,3071.0,187252.0,800687.0,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.048000842955936,-5.509084954381797,Inverie,10.703636047954054,57.0385872,-5.6851839
758,Sron a' Choire Ghairbh,937.0,3074.0,222247.0,794560.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.00785782414221,-4.9287547363286555,Invergarry,10.16895018641465,57.0697214,-4.8049621
759,Meall na Teanga,916.8,3008.0,222023.0,792471.0,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.9890301536836,-4.930962897079465,Spean Bridge,10.79786819649419,56.8920582,-4.9215585
773,Gulvain [Gaor Bheinn],987.0,3238.0,200268.0,787575.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.93622989380862,-5.284527502121666,Blaich,11.08261485681047,56.8432336,-5.2188921
775,Gulvain South Top,961.0,3153.0,199674.0,786454.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,56.92591962005835,-5.293385595167732,Blaich,10.247618319232837,56.8432336,-5.2188921
774,Sgurr Thuilm,963.0,3159.0,193906.0,787980.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.93707381458841,-5.389222053160546,Glenfinnan,8.119793656597718,56.8710714,-5.446437
776,Sgurr nan Coireachan,956.0,3136.0,190290.0,788013.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.9357461248063,-5.448564951360131,Glenfinnan,7.192661864551336,56.8710714,-5.446437
815,Sgurr Fhuaran,1068.8,3507.0,197849.0,816678.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.19617269331863,-5.347652031049314,Inverinate,8.512056137749955,57.2428829,-5.4596682
